"SUM(TOTAL_NO_OF_CRIME)","CRIME_NAME","STATUS","FULLNAME","GENDER","LOCATION_NAME","REGION_NAME","YEAR","MONTH","DAY"
"1","Drugs Offence","ESCALATE","","","Meanwood","West Yorkshire","2016","11","25"
"1","robbery","OPEN","","","Lawnswood","West Yorkshire","2017","11","25"
"1","robbery","OPEN","","","Meanwood","West Yorkshire","2015","01","25"
"1","Violent Crime","CLOSED","","","Meanwood","West Yorkshire","2016","01","25"
"2","Violent Crime","OPEN","","","Meanwood","West Yorkshire","2017","01","25"
"1","Black mail","CLOSED","Mary	 Beth Aitken","female","NEWPORT","Mid WALES","2019","05","09"
"1","UNDEFINED","OPEN","Kimberly	 Randall","Male","CARDIFF","North West, Wales","2019","02","13"
"1","forgery","OPEN","","","Meanwood","West Yorkshire","2016","08","25"
"1","Drunk and DisOrder ","CLOSED","","","Meanwood","West Yorkshire","2017","08","25"
"1","Drugs Offence","ESCALATE","","","Meanwood","West Yorkshire","2015","09","25"
"1","Violent Crime","CLOSED","Drew Dayton","","Meanwood","West Yorkshire","2016","08","25"
"1","Violent Crime","OPEN","Callum Chapman","","Meanwood","West Yorkshire","2015","08","25"
"1","robbery","OPEN","Ewan Ellen","","Lawnswood","West Yorkshire","2015","08","25"
